AX4CustCode,D365CustCode,CustName
M055,MEDA,MEDLINE AUSTRALIA
M007,MEDC,MEDLINE CANADA CORPORATION
M052,MEDE,MEDLINE EUROPE
M003,MEDU,"MEDLINE INDUSTRIES, INC."
M054,MEDJ,MEDLINE JAPAN
MEDP,MEDP,MEDLINE PANAMA LLC SRL
H029,HLYD,O&M HALYARD INTERNATIONAL UC
B027,BBMI,B.BRAUN MEDICAL INDUSTRIES SDN BHD
B020,BBMA,B.BRAUN MELSUNGEN AG
C025,CDNL,CARDINAL HEALTH SINGAPORE 225 PTE LTD
M019,MTRO,CARDINAL HEALTH SINGAPORE 225 PTE LTD (METRO)
A048,ANSL,ANSELL GLOBAL
S059,S2SG,"SVS,LLC DBA S2S GLOBAL"
H055,PHAI,HARTMANN FOROMED SRL
H031,PHAR,HARTMANN RICO A.S.
P037,PHAS,LABORATORIOS HARTMANN S.A
P027,PHAG,PAUL HARTMANN AG
P036,PHAF,PAUL HARTMANN SA
A021,ABNA,ABENA A/S
K021,KWNS,"KAWANISHI INDUSTRY CO.,LTD"
M066,OWMN,"OWENS & MINOR DISTRIBUTION, INC."
P034,MCKU,MCKESSON GLOBAL SOURCING UK LTD
I001,IHCP,INNOVATIVE HEALTHCARE CORPORATION
M051,MDXB,MEDIX BRASIL PRODUTOS HOSPITALARES E ODONTOLOGICOS LTDA
H043,HDGD,"HANDGARDS, INC"
S045,SRYJ,SARAYA HONGKONG CO. LIMITED
H021,HSFR,HENRY SCHEIN FRANCE SCA
H040,HSCH,"HENRY SCHEIN TRADING (SHANGHAI) CO., LTD"
H020,HSUS,"HENRY SCHEIN, INC"
V001,VRDT,VERDE TRADING CO LTD
K001,KCLG,KCL GMBH
AMER,AMER,"AMERCAREROYAL, LLC"
T029,TRNX,TRONEX INTERNATIONAL INC.
D001,DASH,DASH MEDICAL GLOVES
P044,PMEC,PRIMED MEDICAL PRODUCTS INC.
B037,BEYB,BEYBI PLASTIK FAB. SAN. A.S.
P043,PMED,PRIMED MEDICAL PRODUCTS INC.
S077,SPAM,SINA PARS ARIA
E030,EIFJ,"EIF CO., LTD"
S052,SFMH,SFM HOSPITAL PRODUCTS GMBH
H053,HYME,"HAIMEN YANGZI MEDICAL EQUIPMENT CO.,LTD"
S001,SCOT,DAVIS SCHOTTLANDER & DAVIS LTD
C012,CHML,CHEMIL SRL
N018,NHML,NH MED?KAL NH MED?KAL - N VE H MED?KAL ?THALAT ?HRACAT PAZAR
OMAR,OMAR,OMARE
B016,BNCO,BENCO DENTAL SUPPLY CO.
S047,SAFE,SAFEMED SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA SPOLKA KOMAN
G044,GDIA,GARMENDIA
C030,CMTS,COMFORTIES.COM LTD
E004,ENMP,EN MEDIPART
Z001,ZARY,ZARYS INTERNATIONAL GROUP
T038,TRZC,THE TRANZONIC COMPANIES
D032,DDTC,DIDACTIC FRANCE
T039,TNTE,"TNT ENTERPRISES, INC"
S061,SRYR,"SARAYA CO., LTD."
M082,MYML,MY TICARET VE MEDIKAL A.S.
MZNO,MZNO,"MIZUNO SANGYO CO., LTD"
H052,HNWC,"HONEYWELL AUTOMATION AND CONTROL SOLUTION (CHINA) CO., LTD"
H042,HNWI,HONEYWELL INTERNATIONAL (INDIA) PVT. LTD.
H048,HNWF,HONEYWELL SAFETY PRODUCTS EUROPE
P021,PSNT,PASANTE HEALTHCARE LTD
G035,GL4U,GLOVES4U LIMITED
P002,PPLR,WHITE-MED GMBH
N012,NOBA,NOBA VERBANDMITTEL DANZ GMBH U. CO KG
K028,KYWA,KYOWA LIMITED
L022,LOHM,LOHMANN RAUSCHER GMBH
A055,ASCE,"ASCEND EAGLE, INC"
S083,SASM,SAS MEDICAL
A004,AS1J,AS ONE CORPORATION
D007,DENT,DENTAL DIRECT
S080,SOUR,SOUR SAADAT CO.
G027,GPHA,GLOBAL PHARMA PTE LTD
P052,GPIN,PT. GLOBAL PHARMA INDONESIA
C005,CLIN,CLINI LAB S.R.L
HEMP,HEMP,HEALTH EMPIRE INCORPORATED CO. LTD.
U001,UTSU,UTSUNOMIYA SEISAKU CO LTD
M062,MEXP,MEXPO INTERNATIONAL INC
M034,MUCB,MUCAMBO S/A - ILHEUS
M070,MDCL,MEDICAL INNOVATIONS (PTY) LTD
A041,ABOK,ABOOK SP. Z O.O.
I004,IWAT,IWATSUKI CO. LTD.
M088,MDHL,MEDHIMRESURS LLC
E032,EGMN,"EGM NETWORKS CO.,LTD."
B042,COOK,BEAUTY BELLE.CO.LTD
M085,MCTR,MERCATOR MEDICAL
THER,THER,SARL THERMOFINA
R013,RUTR,REUTTER
A077,AKKA,ANALITIK KIMYA VE LAB. CIH. SAN TIC. LTD. STI.
S081,SPGL,SUPERIOR GLOVE WORKS LIMITED
I024,ICMS,ICM A/S
PROT,PROT,SARL PROTECFINA
LTPM,LTPM,LOTUS PHARM LLC
A047,APDS,ASIA PHARMACY DRUG STORE
O012,OSIS,OASIS MODERN MEDICAL SUPPLIES LLC
N021,NEST,"WUXI NEST BIOTECHNOLOGY CO., LTD."
D027,DCTV,FIRST GLOBAL TECHNOLOGY PTE LTD
F018,FIRS,FIRST RATE CORPORATION
DESK,DESK,CAREGLOVE GLOBAL SDN BHD
J013,JBEZ,JABEZ TRADING COMPANY LIMITED
O005,OKMT,OKAMOTO INDUSTRIES INC
H023,HOMB,HOMOBONUS J¢ZEF CHMIELA
ILMK,ILMK,ILMAK MAKINA SANAYI VE TICARET A.?.
GRAN,GRAN,GRANBERG SVERIGE AB
B024,BNZL,BUNZL INTERNATIONAL SERVICES
H049,HATT,HATTAB FACTORY FOR PLASTIC BAGS
B049,BEST,BEST GLOVES LLC
A079,AMPI,AMPRI HANDELSGES. MBH
MSEP,MSEP,MEDASEPT SP. Z O.O.
D020,DNSK,DANSK NORDENTA
B047,GREC,GRECO AND SONS INC
B034,BRCA,BERICA HYGIENE S.P.A
O014,ONEM,ONEMED SVERIGE AB
J002,JFMJ,JFM JOSEF F. MULLER GMBH
S073,SETY,SW SAFETY SOLUTION INC.
P050,PLDT,PLANDENT OY
H051,HYMC,"HYUNDAI MICRO CO.,LTD"
K026,KMCP,KM CORPORATION
C042,CSMD,COSMOMED S.A.
C014,CIML,"C.I. MEDICAL CO., LTD"
N015,NPCJ,"NIPPON PAPER CRECIA CO., LTD"
M076,MEGD,THE MEDICAL EXPORT GROUP BV
G040,CADE,CADENCE
R012,RFLX,REFLEXX S.P.A
C046,GASA,CUATROGASA
E026,ELCO,EL CORTE INGLES
M013,MAPS,MEDIPART APS
S058,SRYK,"SARAYA KOREA CO., LTD"
G038,GHPF,AHP FAR EAST LTD
A072,ALMI,ALMIKA TRADING (PTY) LTD
I017,ILMB,ILOOMBIO
CYBT,CYBT,CITY BEAT
KFHM,KFHM,KFH TECHNOLOGY SDN BHD
S076,SMDO,SUMEDCO
K002,KYEI,KYOEI CORPORATION
G003,GENE,"GENEALL BIOTECHNOLOGY CO., LTD"
L023,LIMA,LIMAS
GLOV,GLOV,GLOVMART LLC
M099,MDTR,MEDITRADE GMBH
G021,GALA,GALLA DENTAL CORPORATION SDN BHD
M100,MKIT,MEDICALKIT
N022,NEMT,NEW MEDICAL TECHNOLOGIE
S066,SLSC,SL SCIENCE
O011,OPGR,OPTIMUS GROUP SARL
H003,HRDC,HARADA CORPORATION
C053,CHIP,CHIPRO
GARD,GARD,GARDENING S.R.L.
S069,SBOO,SBL INC.
AMEX,AMEX,AMEX Export-Import GmbH
ESTR,ESTR,ESTRADE DISTRIBUTION SRL
I023,INTR,INTERTAN S.A.
MADG,MADG,MADEGOM S.A
B039,BABE,BARBER HEALTHCARE LTD
GLOB,GLOB,GLOBAL PLAST S.R.L
H004,HLMD,HELIOMED HANDELSGES MBH
S070,SGER,SANGER GMBH
S065,SUNR,SUNRISE SRL
E003,EDMD,EMDAMED B.V
Y007,LOGI,Y-LOGIMED S.A.
BIGD,BIGD,BINGOLD GMBH
C031,CRBY,CRANBERRY (M) SDN BHD
N020,NBSD,NBS DISTRIBUTION LTD
J009,JRGN,JORGEN KRUUSE A/S
D024,DBGL,DB GLOBAL
J004,JDSC,JAPAN DENTAL SUPPLY CORPORATION
H030,HUMG,HUM GMBH
G001,GCCP,GC CORPORATION
K030,KRCA,"KORECA CO., LTD"
M012,MITK,MITAKA SUPPLY CO LTD
F023,FULL,FULL YIELD (ASIA) LTD
U011,UVXG,UVEX SAFETY GLOVES GMBH & CO. KG
M017,MAPA,MAPA GLOVES SDN BHD
H036,HYNL,"HYUNIL LAB-MATE CO., LTD."
A049,ATCH,ATECH
U013,UVXA,UVEX SAFETY AUSTRALIA LIMITED PARTNERSHIP
A039,APLU,"LYG AIYEH NON-WOVEN PRODUCTS CO., LTD"
M004,MCND,AMD MEDICOM INC
A059,ASMT,AS MARKET
B030,BRTZ,BERTOZZI S.R.L.
B044,BHMC,"BH MEDICAL PRODUCTS CO., LTD"
B029,BIOG,BIO-GENE TECHNOLOGY LTD.
C045,CABO,CABO HEALTH INC
C044,CACT,CACTORY INTERNATIONAL LIMITED
DIAM,DIAM,DIAMOND GLOVES
DISP,DISP,DIVERSITY PRO
A058,ETML,ELTOMA LIMITED
H028,HPPY,HAPPY HANDS LATEX GLOVES CO LTD
H047,RUCK,HELLMUT RUCK GMBH
HNCE,HNCE,"HNC ENTERPRISES, LLC"
H045,HMCR,HUMANCARE LTD
IMPL,IMPL,INTERNATIONAL MEDICAL PRODUCTS LLC
J015,JUBA,JUBA PERSONAL PROTECTIVE EQUIPMENT S.L
MATA,MATA,MATANG MANUFACTURING SDN BHD
MEEU,MEEU,MEDICA EUROPE
M064,MDNX,MEDINOX PTY LTD
M068,MTAA,MODERN TEACHING AIDS PTY LTD
G033,NGEO,"NEW GEORGIA-555, LTD."
O015,OTDL,OTDEL MEDITSINSKOY TEHNIKI
PDRJ,PDRJ,"PDR CO.,LTD"
P060,PHOL,PHOL DHANYA PUBLIC COMPANY LIMITED
R016,RNCA,RAMON CANELA INC
R010,RMSC,REMESCO HANDELSGES M.B.H
R017,RBSN,ROBINSON HEALTHCARE LTD
S060,SFMX,SAFARMEX (PTY) LTD
S068,SC4U,SCIENCE4YOU
SEMP,SEMP,SEMPERIT INVESTMENTS ASIA PTE LTD
S082,SKAM,SKAMEX
S022,SPPL,SUPERIOR PHARMA LIMITED
S016,SZON,THE SAFETY ZONE LLC
TOPC,TOPC,TOP CORPORATION
ULIN,ULIN,ULINE
VOLK,VOLK,VOLK DO BRASIL LTDA
N017,NOVO,LCH MEDICAL PRODUCTS
J018,JOSE,"JOSEFINO TRADING (COMBINED JOSEFINO TRADING, ACASTILLO ENTERPRISES & REZOSTAR CORPORATION)"
E034,EGMI,"EGM INTERNATIONAL CO.,LTD."
F017,FTFZ,FIRST FOCUZ LIMITED COMPANY
H054,HEXA,HEXAGON COMPANY
S056,SAFA,SAFA DRUG STORE COMPANY LTD
M097,MXSE,MAX SERVICE SEGURIDAD INDUSTRIAL
LYNC,LYNC,LYNCMED TECHNOLOGY INTERNATIONAL LIMITED
G028,GMAD,GOLMAR ADRIATICA SRL
G023,GMRO,GOLMAR ITALIA ROMA SRL
G016,GMIS,GOLMAR ITALIA SPA
G024,GMMD,GOLMAR MEDITERRANEA SRL
G026,GMRD,GOLMAR RODIT SRL
G022,GMPD,GOLMAR SRL
Y005,YSLS,YIGIT SAGLIK LTD. STI.
K017,KYES,KAYES TRADING ESTABLISHMENT
M078,LBMK,LABMARKER DIS TICARET LTD. STI.
C055,CARE,"CARELINE CO.,LTD"
G036,GVTI,G.VINCENTI & SONS S.A.L
D034,DHKA,DHAKA INDENTING LTD.
V017,VTEC,VITALTEC GMBH
K031,KFHT,KFH TECHNOLOGY SDN BHD (KFHT)
M087,2MME,2M MEDICAL
N019,NHWY,NAGHAWAY MEDICAL SUPPLY CO.
AHPI,AHPI,"AMERICAN HEALTHCARE PRODUCTS, INC"
P056,PRDN,"PRODENTI CO., LTD"
A071,AONE,"A1 KOREA CO., LTD"
BBCC,BBCC,BBC CHILE
DNKL,DNKL,D. NIKOLAOU S.A
FLTR,FLTR,FLORIDA TRADING SA
F024,FARM,FARMAC ZABBAN SPA
S074,SMED,SIPROMED SARL
H056,HDON,HIMEDONE (COMBINED INTERNATIONAL DENTAL MATERIALS EST. & HIMEDONE)
A038,ARBN,ARABIAN MEDICAL DEVICES LLC
C052,CESC,"CESCO CO., LTD"
E035,EPAC,EPACKER
R018,ROSS,ROSSINI TRADING SPA
DFCO,DFCO,DAR AL FARABI CORPORATION (DAFCO)
L010,LGNH,LEGION HEALTHCARE PRODUCTS LTD
N023,NPSD,NPS DISTRIBUTORS LTD
BLUE,BLUE,BLUETECH INTERNATIONAL CO.LTD
,IFMT,"IFM TRADE DEPARTMENT CO., LTD"
M098,MCRO,MICRO LAB MEDICAL
M080,MTCU,MTC U TRADING
T002,TEKM,TEKMEDIC (M) SDN BHD
L011,LIFC,LIFCO DENTAL AB
P003,MUNA,MUN (AUSTRALIA) PTY LTD (MUNA)
D033,DYNM,MUN (AUSTRALIA) PTY LTD (DYNM)
P057,MUNZ,MUN (NEW ZEALAND) LTD
P030,MUNI,MUN HEALTH PRODUCT (INDIA) PVT. LTD
P029,MUNC,"YANCHENG MUN MEDICAL EQUIPMENT CO., LTD"
M081,MDCA,A.R. MEDICOM INC. (ASIA) LIMITED
A069,ACAS,"ACASTILLO ENTERPRISES (COMBINED JOSEFINO TRADING, ACASTILLO ENTERPRISES & REZOSTAR CORPORATION)"
A076,ACEL,ACELAB INC
A056,AKDE,AKDENIZ TEMIZLIK URUNLERI VE TEKSTIL SAN VE TIC LTD STI
A052,ATPA,AKTEPE PLASTIK AMBALAJ TEKSTIL VE GIDA SAN TIC AS
,ATEK,ALTEK YAPI MARKET SAN. TIC. LTD. STI
A065,AAPE,ANEMAW ALEMU DELELE
A078,AWME,AW MEDICAL SUPPLY TRADING LIMITED
B048,BIMD,BARNA IMPORT MEDICA SA
B043,BLTR,BILTAR ENDUSTRIYEL URUNLER IC VE DIS TIC. LTD. STI
B045,BRLA,BORLA ENTERPRISES
B038,BPZR,BURSA PAZARI
C051,CITY,CITY PLAST CO.
DBLD,DBLD,"DOUBLE D CO., LTD"
,ERKM,ERK MEDIKAL SAGLIK HIZMETLERI
F016,FATR,FIRST ALMARCO TRADING FZE
F015,FDEX,FOODEX INTERNATIONAL TRADING CO.
,GOTO,"GOTO DENTAL CO., LTD"
G019,GSFT,"GRUPO SAFE FIT INTERNACIONAL, S DE RL DE CV"
J016,JZLI,"GUANGZHOU JIAZHANLI RUBBER PLASTIC CO.,LTD"
H050,HTCG,HTC GLOVES CO. LTD
IMSP,IMSP,IMPORT MEDICAL SERVICE
I021,INJX,INJEX INDUSTRIAS CIRURGICAS LTDA
,ITDM,INTERNATIONAL DENTAL MATERIALS EST. (COMBINED INTERNATIONAL DENTAL MATERIALS EST. & HIMEDONE)
J017,JEHU,JEHU INDUSTRIES  (COMBINED ALMIKA TRADING (PTY) LTD & JEHU INDUSTRIES)
JUHA,JUHA,JUHA INTERNATIONAL
K029,KCGS,"KIMBERLY CLARK GLOBAL SALES, LLC"
K027,KING,KINGS SHOE MANUFACTURING PTE LTD
LAGN,LAGN,LAGIN COMPANY
M086,MJAL,MAJAL CARE TRADING EST
MDRM,MDRM,MEDIRAMA
MDST,MDST,MEDISIST
MDSV,MDSV,MEDISOLUTIONS C.A
ASTM,ASTM,MEDTOVAROPT
,MTRA,MEDTRA GENERAL TRADING LLC
MPSL,MPSL,"OOO TK ""MP-SERVICE"""
M057,MLTK,MULTIKAN SAGLIK URUNLERI SANAYI VE DIS TICARET A.S.
NSBT,NSBT,NAWAF SALEH AL BATTI TRADING EST.
ONML,ONML,OLGUN MEDIKAL INSAAT VE TICARET LIMITED SIRKETI
P032,PXTB,PHARMATEX COMERCIAL DE PRODUTOS HOSPITALARES LTDA
PROM,PROM,PROMOSAC MEDIPROTEC
R014,REZO,"REZOSTAR CORPORATION (COMBINED JOSEFINO TRADING, ACASTILLO ENTERPRISES & REZOSTAR CORPORATION)"
S046,CRMB,SERTRADING BR LTDA
SHOK,SHOK,"SHOKUNIN CO.,LTD"
S043,SNFD,"SONIFORD MAELLER CORPORATION  (COMBINED TONGTAH INTERNATIONAL FREIGHT FORWARDING CORP , SONIFORD MAELLER CORPORATION & WING HANG MEDICAL SUPPLIES LTD)"
S075,SPDM,SUPERMED
T037,TONG,"TONGTAH INTERNATIONAL FREIGHT FORWARDING CORP (COMBINED TONGTAH INTERNATIONAL FREIGHT FORWARDING CORP , SONIFORD MAELLER CORPORATION & WING HANG MEDICAL SUPPLIES LTD)"
U012,ULMC,ULM COMPANY
U010,UNID,UNIDEM LTD SP. Z O.O. SK
W001,WGHG,"WING HANG MEDICAL SUPPLIES LTD  (COMBINED TONGTAH INTERNATIONAL FREIGHT FORWARDING CORP , SONIFORD MAELLER CORPORATION & WING HANG MEDICAL SUPPLIES LTD)"
ALPH,ALPH,ALPHA-HEALTH (MALAYSIA) SDN BHD
A060,AMSA,AM SALES & MARKETING SDN BHD
A063,ANCI,ANCILLARE ASIA-PACIFIC PTE LTD
A070,AUXA,AUXANO MEDICAL PTE.LTD.
B041,BIOF,BIOFLOW LIFESCIENCE SDN BHD
C056,,CARAL RESOURCES
C047,COMM,COMMERMEGA SDN BHD
DYEW,,DR YEW HSU ZENN
E031,EDAR,EDARAN MEDICALTECH (M) SDN BHD
E020,ENCI,ENCIA DENTAL SPECIALIST SDN BHD
GSCE,,GARDEN SCENTS
G037,GEMS,GEMSCOR ENTERPRISE
H044,HWFI,HONG WEE FOOD INDUSTRIES SDN BHD
K032,KATO,KATO MANUFACTURING (MALAYSIA) SDN BHD
M090,MGEN,MEDGENERAL MEDICAL SUPPLIES SDN BHD
M091,MEAP,MEDICAL APPARATUS SUPPLIES SDN BHD
M083,MDIC,MEDICO SDN BHD
O013,OBTH,OBTECH CORPORATION (M) SDN BHD
O007,ONEW,ONE WORLD GLOVES SDN BHD
PAUL,,PAUL DENTAL CENTRE
P059,PHMA,PHARMANIAGA LOGISTICS SDN BHD
P054,PPEM,PPE MANUFACTURING SDN BHD
PLAS,,PT.PLASMA UNITECH GLOBAL
SANT,,SAN-TRONIC MEDICAL D
T035,TAIM,TAI MA SEWING MACHINE PTE LTD
TOPS,,TOP SKILL CONSULTANCY SDN BHD
V016,VCCD,VCC DENTAL SUPPLY SDN BHD
V014,VERS,VERSADEN SDN BHD
